alp_cov_no,Insurer,Brand,Policy_no,Product_code,Policy_StartDate,Business_Class,Policy_Issued,Identity_no,Plan_Type,Relationship,DateofBirth,Sex,Smoker,Policy_Status,Risk_Status,Risk_Sequence,Risk_Type,Risk_StartDate,Risk_StatusDate,Loading_Net,PremiumLoad_Dollar,PremiumLoad_Duration,Customer_discount,SumInsured,SumReinsured,AnnualPremium,PremiumFrequency,FrequencyPremium,PaymentMethod,ClaimIndicator,AgeAtEntry,OccupationCode,Exclusion_Indicator,StaffDiscount,CPI_Flag,Termination_Date,Termination_Code,Policy_Count,Sort_Seq,AsAtDate,Id_Count,JointLife,Premium_PercentCode,MPL_commission,Waiting_period,Benefit_period,CommissionSplitVersion,Policy_AcceptanceDate,dtmOriginalBenefitStart,Validation_Key,Calculated_Age
20000023-TRA,ABC ltd,Y,510407399,MTL,4/5/2010,O,Y,20000023,S,MAIN,6/6/1973,M,N,1,1,1,TRA,4/5/2025,2/24/2026,0,0,0,0.1,2180189,"2,180,189","57,959",M,4851.7,CC,,37,,N,,Y,,,1.0,10,12/31/2025,1.0,N,MTL_TRA_1,747.49,0,0,1.0,3/26/2010,4/5/2010,20000023-TRA,37.81
20000024-TPD,ABC ltd,Y,510420847,WLI,11/9/2010,O,Y,20000024,S,MAIN,10/20/1970,F,N,6,1,1,TPD,11/9/2025,10/31/2025,0,0,0,0.1,857416,"857,416","11,991",M,984.51,DD,,40,,N,Y,Y,11/17/2025,C,1.0,10,12/31/2025,1.0,N,WLI_TPD_1,148.18,0,0,1.0,11/5/2010,11/9/2010,20000024-TPD,40.93
20000025-TPD,ABC ltd,Y,510782222,WLI,9/8/2011,O,Y,20000025,S,MAIN,5/20/1965,M,N,1,1,1,TPD,9/8/2025,3/31/2026,150,0,0,0.1,942664,"942,664","8,613",F,331.93,CC,,46,,N,,Y,,,1.0,10,12/31/2025,1.0,N,WLI_TPD_1,50.74,0,0,,8/27/2011,9/8/2011,20000025-TPD,46.93
20000026-DTH,ABC ltd,Y,510382436,MTL,7/22/2014,O,Y,20000026,S,MAIN,9/17/1981,M,N,1,1,1,DTH,7/22/2025,6/19/2026,0,0,0,0.1,2586324,"2,586,324","30,170",M,2470.01,DD,,33,,N,,Y,,,,10,12/31/2025,1.0,N,MTL_DTH_1,478.03,0,0,1.0,7/22/2014,7/22/2014,20000026-DTH,33.66
20000027-DTH,ABC ltd,Y,510638601,WLI,3/12/2009,O,Y,20000027,S,MAIN,12/19/1949,M,Y,6,1,1,DTH,3/12/2025,8/21/2025,0,0,0,0.1,6500000,"6,500,000","106,476",F,4094.6,DD,,59,,N,,Y,5/24/2025,P,1.0,10,12/31/2025,,N,WLI_DTH_1,653.41,0,0,1.0,3/8/2009,3/12/2009,20000027-DTH,59.59
20000028-DTH,ABC ltd,Y,510890981,MTL,5/3/2007,O,Y,20000028,S,MAIN,8/15/1968,F,N,6,1,1,DTH,5/3/2025,7/31/2025,0,0,0,0.1,2026476,"2,026,476","38,825",F,1489.04,DD,,39,,Y,,Y,3/26/2025,L,1.0,10,12/31/2025,1.0,N,MTL_DTH_1,300.73,0,0,1.0,4/20/2007,5/3/2007,20000028-DTH,39.27
20000029-DTH,ABC ltd,Y,510779767,MTL,7/7/2007,O,Y,20000029,S,MAIN,4/28/1960,M,N,6,1,1,DTH,7/7/2025,1/11/2026,0,0,0,0.1,2664069,"2,664,069","52,142",F,2033.0,CC,,47,,N,,Y,10/8/2025,L,,10,12/31/2025,1.0,N,MTL_DTH_1,310.05,0,0,1.0,6/30/2007,7/7/2007,20000029-DTH,47.27
20000030-DTH,ABC ltd,Y,510385119,WLI,1/24/2007,O,Y,20000030,S,MAIN,4/28/1951,M,N,1,1,1,DTH,1/24/2025,8/22/2025,0,0,0,0.0,3027307,"3,027,307","71,345",M,5916.31,DD,,56,,N,Y,Y,,,1.0,10,12/31/2025,1.0,N,WLI_DTH_1,1025.39,0,0,1.0,1/17/2007,1/24/2007,20000030-DTH,56.34
20000031-DTH,ABC ltd,Y,510706555,MTL,9/9/2011,O,Y,20000031,S,MAIN,11/9/1951,F,N,1,1,1,DTH,9/9/2025,8/10/2026,100,0,0,0.0,908045,"908,045","17,519",F,665.4,DD,,60,,N,Y,Y,,,1.0,10,12/31/2025,,N,MTL_DTH_1,126.32,0,0,1.0,8/31/2011,9/9/2011,20000031-DTH,60.82
20000032-TPD,ABC ltd,Y,510455002,MTL,4/7/2009,O,Y,20000032,S,MAIN,2/3/1945,M,N,1,1,1,TPD,4/7/2025,9/30/2025,0,0,0,0.1,5245884,"5,245,884","105,476",M,8971.24,DD,,79,A,N,,Y,,,1.0,10,12/31/2025,1.0,N,MTL_TPD_1,1357.64,0,0,1.0,4/3/2009,4/7/2009,20000032-TPD,79.88
20000033-ADB,ABC ltd,Y,510173770,MAP,2/19/2013,O,Y,20000033,S,MAIN,1/5/1971,F,N,1,1,1,ADB,2/19/2025,1/15/2025,0,0,0,0.1,1757408,"1,757,408","7,098",M,580.16,,,42,,Y,,Y,,,1.0,10,12/31/2025,1.0,N,MAP_F_1,89.08,0,0,1.0,2/5/2013,2/19/2013,20000033-ADB,42.07
20000034-TPD,ABC ltd,Y,510515067,WLI,8/17/2009,O,Y,20000034,S,MAIN,11/2/1967,M,N,6,1,1,TPD,8/17/2025,2/8/2026,0,0,0,0.1,2054763,"2,054,763","33,365",F,1293.98,CC,,42,A,N,,Y,2/12/2025,L,1.0,10,12/31/2025,,N,WLI_TPD_1,255.92,0,0,1.0,8/7/2009,8/17/2009,20000034-TPD,42.82
20000035-ADB,ABC ltd,Y,510379673,MAP,9/18/2014,O,Y,20000035,S,MAIN,6/20/2000,M,N,1,1,1,ADB,9/18/2025,4/20/2026,100,0,0,0.1,1593515,"1,593,515","5,432",F,212.92,CC,,14,,N,N,Y,,,,10,12/31/2025,1.0,N,MAP_F_1,32.28,0,0,1.0,9/5/2014,9/18/2014,20000035-ADB,14.41
20000036-DTH,ABC ltd,Z,510473406,WLI,1/17/2012,O,Y,20000036,S,MAIN,12/30/1979,M,N,1,1,1,DTH,1/17/2025,12/20/2025,0,0,0,0.1,1298572,"1,298,572","18,883",M,1573.12,DD,,32,,Y,,Y,,,1.0,10,12/31/2025,1.0,N,WLI_DTH_1,266.59,0,0,1.0,1/6/2012,1/17/2012,20000036-DTH,32.47
20000037-DTH,ABC ltd,Z,510425735,MTL,8/19/2009,O,Y,20000037,S,MAIN,8/22/1958,M,N,6,1,1,DTH,8/19/2025,6/30/2026,150,0,0,0.0,1688520,"1,688,520","27,532",F,1084.16,,,51,,N,,Y,2/17/2025,L,1.0,10,12/31/2025,1.0,N,MTL_DTH_1,209.43,0,0,1.0,8/18/2009,8/19/2009,20000037-DTH,51.19
20000038-ADB,ABC ltd,Y,510265275,MAP,11/11/2012,O,Y,20000038,S,MAIN,8/23/1964,M,N,6,1,1,ADB,11/11/2025,3/3/2026,50,0,0,0.0,1798643,"1,798,643","6,270",M,536.65,DD,,48,,N,,Y,9/3/2025,C,,10,12/31/2025,1.0,N,MAP_F_1,112.48,0,0,1.0,11/1/2012,11/11/2012,20000038-ADB,48.27
20000039-DTH,ABC ltd,Y,510953251,MTL,4/14/2015,O,Y,20000039,S,MAIN,6/6/1981,M,Y,6,1,1,DTH,4/14/2025,9/9/2025,0,0,0,0.1,1548493,"1,548,493","31,989",M,2630.0,DD,,34,,N,,Y,2/14/2025,L,1.0,10,12/31/2025,1.0,N,MTL_DTH_1,563.29,0,0,1.0,3/31/2015,4/14/2015,20000039-DTH,34.53
20000040-DTH,ABC ltd,Y,510287914,MTL,5/13/2015,O,Y,20000040,S,MAIN,2/21/2010,F,N,1,1,1,DTH,5/13/2025,5/17/2025,25,0,0,0.1,2210611,"2,210,611","37,900",M,3149.24,CC,,5,,N,,Y,,,1.0,10,12/31/2025,1.0,N,MTL_DTH_1,691.37,0,0,1.0,5/4/2015,5/13/2015,20000040-DTH,5.17
20000041-DTH,ABC ltd,Y,510461637,WLI,4/12/2012,O,Y,20000041,S,MAIN,2/18/1962,F,N,1,1,1,DTH,4/12/2025,12/13/2025,0,0,0,0.1,1355056,"1,355,056","29,532",M,2528.69,DD,,50,,N,,Y,,,1.0,10,12/31/2025,1.0,N,WLI_DTH_1,554.86,0,0,1.0,4/7/2012,4/12/2012,20000041-DTH,50.38
20000042-TRA,ABC ltd,Y,510907178,MTL,9/16/2008,O,Y,20000042,S,MAIN,9/15/1962,F,N,1,1,1,TRA,9/16/2025,5/22/2026,0,0,0,0.1,2674312,"2,674,312","105,990",M,8836.1,DD,Y,46,,N,,Y,,,1.0,10,12/31/2025,,N,MTL_TRA_1,1447.77,0,0,1.0,9/3/2008,9/16/2008,20000042-TRA,46.17
20000043-DTH,ABC ltd,Z,510539700,WLI,11/25/2008,O,Y,20000043,S,MAIN,9/30/1962,F,N,1,1,1,DTH,11/25/2025,12/21/2025,0,0,0,0.1,2385723,"2,385,723","56,362",F,2190.54,DD,,46,,N,,Y,,,1.0,10,12/31/2025,,N,WLI_DTH_1,422.15,0,0,1.0,11/19/2008,11/25/2008,20000043-DTH,46.34
20000044-TPD,ABC ltd,Y,510923949,WLI,3/11/2014,O,Y,20000044,S,MAIN,12/2/1981,M,N,1,1,1,TPD,3/11/2025,2/19/2026,0,0,0,0.1,1005047,"1,005,047","20,126",F,788.19,CC,,32,A,N,,Y,,,1.0,10,12/31/2025,,N,WLI_TPD_1,130.3,0,0,1.0,3/6/2014,3/11/2014,20000044-TPD,32.35
20000045-TRA,ABC ltd,Y,510224379,MTL,10/17/2013,O,Y,20000045,S,MAIN,1/18/1974,M,Y,6,1,1,TRA,10/17/2025,10/6/2025,350,0,0,0.0,8900000,"8,900,000","17,922",M,1495.2,CC,,40,,N,,Y,5/8/2025,L,1.0,10,12/31/2025,1.0,N,MTL_TRA_1,311.42,0,0,1.0,10/8/2013,10/17/2013,20000045-TRA,40.5
20000046-TRA,ABC ltd,Y,510395276,MTL,2/3/2012,O,Y,20000046,S,MAIN,12/21/1954,F,Y,1,1,1,TRA,2/3/2025,10/10/2025,0,0,0,0.1,2904157,"2,904,157","85,025",M,7094.19,DD,,57,,N,,Y,,,1.0,10,12/31/2025,,N,MTL_TRA_1,1462.09,0,0,1.0,1/30/2012,2/3/2012,20000046-TRA,57.84
20000047-DTH,ABC ltd,Y,510436879,MTL,1/7/2011,O,Y,20000047,S,MAIN,5/7/1982,M,N,1,1,1,DTH,1/7/2025,12/14/2024,50,0,0,0.1,1493200,"1,493,200","17,361",F,681.86,DD,,29,,N,,Y,,,1.0,10,12/31/2025,1.0,N,MTL_DTH_1,137.49,0,0,1.0,12/30/2010,1/7/2011,20000047-DTH,29.47
20000048-DTH,ABC ltd,Y,510955753,WLI,12/4/2008,O,Y,20000048,S,MAIN,10/4/1966,M,N,1,1,1,DTH,12/4/2025,11/10/2025,0,0,0,0.1,1376154,"1,376,154","19,481",F,749.21,,,42,,N,,Y,,,1.0,10,12/31/2025,1.0,N,WLI_DTH_1,123.96,0,0,1.0,11/21/2008,12/4/2008,20000048-DTH,42.56
20000049-TPD,ABC ltd,Y,510486705,MTL,1/26/2011,O,Y,20000049,S,MAIN,1/2/1975,F,N,1,1,1,TPD,1/26/2025,5/4/2025,0,0,0,0.1,1594155,"1,594,155","20,684",F,812.51,CC,,36,,N,,Y,,,,10,12/31/2025,1.0,N,MTL_TPD_1,133.95,0,0,1.0,1/14/2011,1/26/2011,20000049-TPD,36.47
20000050-DTH,ABC ltd,Y,510525630,WLI,6/16/2015,O,Y,20000050,S,MAIN,6/25/1948,F,N,1,1,1,DTH,6/16/2025,7/9/2025,0,0,0,0.1,1021257,"1,021,257","15,169",M,1251.88,DD,,67,,N,,Y,,,1.0,10,12/31/2025,,N,WLI_DTH_1,241.28,0,0,,6/11/2015,6/16/2015,20000050-DTH,67.14
20000051-DTH,ABC ltd,Y,510290491,MTL,11/26/2008,O,Y,20000051,S,MAIN,9/27/1982,M,N,6,1,1,DTH,11/26/2025,11/9/2025,25,0,0,0.0,2131164,"2,131,164","61,676",M,5139.99,DD,,26,,Y,,Y,10/3/2025,C,1.0,10,12/31/2025,1.0,N,MTL_DTH_1,914.03,0,0,1.0,11/12/2008,11/26/2008,20000051-DTH,26.22
20000052-DTH,ABC ltd,Y,510633515,WLI,5/12/2013,O,Y,20000052,S,MAIN,5/30/1950,F,N,1,1,1,DTH,5/12/2025,2/16/2026,0,0,0,0.1,1355195,"1,355,195","37,660",M,3127.23,DD,,63,,N,,Y,,,1.0,10,12/31/2025,1.0,N,WLI_DTH_1,489.8,0,0,1.0,4/30/2013,5/12/2013,20000052-DTH,63.56
20000053-TRA,ABC ltd,Z,510669278,MTL,12/5/2015,O,Y,20000053,S,MAIN,11/12/1984,M,N,1,1,1,TRA,12/5/2025,11/19/2025,0,0,0,0.1,3958872,"3,958,872","194,118",M,16600.24,CC,,31,,N,Y,Y,,,1.0,10,12/31/2025,1.0,N,MTL_TRA_1,3066.88,0,0,1.0,11/21/2015,12/5/2015,20000053-TRA,31.84
20000054-DTH,ABC ltd,Z,510245209,MTL,6/21/2012,O,Y,20000054,S,MAIN,9/14/1976,F,N,1,1,1,DTH,6/21/2025,11/19/2025,50,0,0,0.1,1958796,"1,958,796","55,585",F,2186.59,DD,,36,,N,,Y,,,1.0,10,12/31/2025,1.0,N,MTL_DTH_1,420.93,0,0,1.0,6/13/2012,6/21/2012,20000054-DTH,36.16
20000055-TRA,ABC ltd,Y,510447889,MTL,9/24/2014,O,Y,20000055,S,MAIN,1/7/1966,M,N,1,1,1,TRA,9/24/2025,8/5/2025,0,0,0,0.0,2090603,"2,090,603","70,779",F,2690.06,CC,,49,,N,,Y,,,1.0,10,12/31/2025,,N,MTL_TRA_1,468.31,0,0,1.0,9/22/2014,9/24/2014,20000055-TRA,49.78
20000056-CCP,ABC ltd,Y,510762014,WLI,11/18/2007,O,Y,20000056,S,MAIN,12/22/1937,M,N,1,1,1,CCP,11/18/2025,3/20/2026,0,0,0,0.1,2150964,"2,150,964","4,008",M,343.91,,,70,,Y,Y,Y,,,,10,12/31/2025,1.0,N,WLI_CCP_0,53.03,0,0,1.0,11/6/2007,11/18/2007,20000056-CCP,70.87
20000057-TPD,ABC ltd,Z,510965407,WLI,12/8/2008,O,Y,20000057,S,MAIN,1/24/1956,M,N,3,1,1,TPD,12/8/2025,9/10/2026,50,0,0,0.1,5000000,"5,000,000",25,M,0.96,CC,,53,,N,,Y,3/4/2025,L,1.0,10,12/31/2025,1.0,N,WLI_TPD_1,705.84,0,0,1.0,11/25/2008,12/8/2008,20000057-TPD,53.38
20000058-DTH,ABC ltd,Y,510612608,MTL,6/6/2013,O,Y,20000058,S,MAIN,2/24/1967,M,N,1,1,1,DTH,6/6/2025,3/27/2026,100,0,0,0.1,1261399,"1,261,399","17,451",M,1496.11,DD,,46,,N,Y,Y,,,1.0,10,12/31/2025,,N,MTL_DTH_1,244.85,0,0,1.0,5/28/2013,6/6/2013,20000058-DTH,46.23
20000059-ADB,ABC ltd,Y,510091488,MAP,12/4/2012,O,Y,20000059,S,MAIN,1/11/1992,F,N,1,1,1,ADB,12/4/2025,11/21/2025,0,0,0,0.1,5793454,"5,793,454","15,314",F,588.36,CC,,21,,N,,Y,,,1.0,10,12/31/2025,,N,MAP_F_1,117.99,0,0,1.0,11/22/2012,12/4/2012,20000059-ADB,21.5
20000060-TPD,ABC ltd,Z,510719926,MTL,2/14/2011,O,Y,20000060,S,MAIN,2/11/2006,M,N,1,1,1,TPD,2/14/2025,7/7/2025,150,0,0,0.1,1179492,"1,179,492","10,075",F,384.17,CC,,5,A,Y,,Y,,,1.0,10,12/31/2025,,N,MTL_TPD_1,69.14,0,0,1.0,2/5/2011,2/14/2011,20000060-TPD,5.36
20000061-TRA,ABC ltd,Z,510563663,MTL,8/12/2013,O,Y,20000061,S,MAIN,7/14/1983,F,Y,1,1,1,TRA,8/12/2025,5/24/2026,0,0,0,0.1,1738059,"1,738,059","73,784",M,6091.94,CC,,30,,N,,Y,,,1.0,10,12/31/2025,1.0,N,MTL_TRA_1,979.64,0,0,1.0,8/11/2013,8/12/2013,20000061-TRA,30.84
20000062-TRA,ABC ltd,Y,510439931,MTL,10/13/2013,O,Y,20000062,S,MAIN,8/2/1960,M,N,1,1,1,TRA,10/13/2025,10/15/2025,0,0,0,0.1,1875613,"1,875,613","54,322",M,4560.84,CC,,53,,N,,Y,,,1.0,10,12/31/2025,1.0,N,MTL_TRA_1,799.32,0,0,1.0,10/1/2013,10/13/2013,20000062-TRA,53.27
20000063-TRA,ABC ltd,Y,510504775,MTL,1/12/2009,O,Y,20000063,S,MAIN,11/26/1966,M,N,1,1,1,TRA,1/12/2025,3/21/2025,50,0,0,0.1,566669,"566,669","15,120",F,596.95,CC,,42,,N,,Y,,,1.0,10,12/31/2025,1.0,N,MTL_TRA_1,92.93,0,0,1.0,1/1/2009,1/12/2009,20000063-TRA,42.42
20000064-TPD,ABC ltd,Y,510847988,WLI,3/6/2013,O,Y,20000064,S,MAIN,12/26/1944,F,N,1,1,1,TPD,3/6/2025,2/3/2025,0,0,0,0.1,1019163,"1,019,163","19,057",F,729.82,DD,,68,,N,,Y,,,,10,12/31/2025,1.0,N,WLI_TPD_1,112.43,0,0,1.0,3/6/2013,3/6/2013,20000064-TPD,68.22
20000065-DTH,ABC ltd,Y,510738141,WLI,10/4/2014,O,Y,20000065,S,MAIN,11/22/1978,M,N,1,1,1,DTH,10/4/2025,5/20/2026,0,0,0,0.1,904720,"904,720","13,783",M,1181.0,DD,,36,,N,,Y,,,1.0,10,12/31/2025,,N,WLI_DTH_1,177.51,0,0,1.0,9/22/2014,10/4/2014,20000065-DTH,36.24
20000066-TPD,ABC ltd,Y,510189647,WLI,9/5/2010,O,Y,20000066,S,MAIN,10/6/1970,F,N,1,1,1,TPD,9/5/2025,10/15/2025,150,0,0,0.1,988942,"988,942","12,724",M,1084.82,CC,,40,A,N,,Y,,,1.0,10,12/31/2025,1.0,N,WLI_TPD_1,170.15,0,0,1.0,8/30/2010,9/5/2010,20000066-TPD,40.31
