PolicyNumber,Premium,SumAssured,EscalationRate,EscalationCode,IssueAge,CurrentAge,BenefitEndAge,Gender,SmokerStatus,LivesType,PremiumEscalation,PremiumType,ContractType,BenefitType,ProductType,PolicyStatus,Duration,Commission,SubstandardPremium,STC,Currency
POL00043,4486.23,58820,0.027,B,32,61,63,Other,Smoker,,No,Increasing,Long Term,,Endowment,New,22,0.114,195.65,Special,GBP
POL00044,1416.91,446184,0.001,,27,21,68,Female,Smoker,Single,No,Mixed,Long Term,Main,ULIP,Terminated,27,0.112,49.46,Special,EUR
POL00045,4193.75,173005,0.048,D,48,65,63,Other,Unknown,Joint,Yes,Increasing,Long Term,Main,ULIP,New,1,0.134,145.11,Standard,EUR
POL00046,3297.75,374532,0.045,D,36,53,70,Female,Non-Smoker,Joint,Yes,Increasing,Undefined,,Term,Unknown,28,0.053,13.75,Standard,GBP
POL00047,4743.31,355859,0.004,D,30,65,67,Male,Smoker,Joint,,Mixed,Long Term,,Endowment,Continuing,30,0.118,253.66,Special,USD
POL00048,3289.42,142388,0.011,D,56,31,62,Male,Non-Smoker,Single,Yes,Mixed,Long Term,,Term,Terminated,30,0.053,87.67,Standard,USD
POL00049,4081.26,258735,0.015,,49,45,71,Other,Smoker,Single,Yes,Mixed,Undefined,Rider,Other,Continuing,30,0.058,83.22,Special,EUR
POL00050,1596.14,395681,0.023,A,38,45,76,Male,Unknown,Single,Yes,Mixed,Long Term,Main,Other,Continuing,16,0.067,56.17,Special,USD
POL00051,4459.84,234301,0.032,A,24,999,63,Other,Non-Smoker,,,Mixed,Long Term,Main,Endowment,Unknown,18,0.14,0.96,Error,USD
POL00052,2367.75,386635,0.009,B,38,27,72,Unknown,Smoker,Joint,,Level,Short Term,,Term,New,25,0.122,178.38,Special,USD
POL00053,4622.49,244734,0.008,B,53,22,70,Unknown,Non-Smoker,Single,No,Mixed,Short Term,,Other,New,18,0.073,247.11,Special,INR
POL00054,3124.35,161488,0.036,D,22,61,66,Male,Smoker,,,Increasing,Undefined,Rider,Endowment,Terminated,21,0.069,397.96,Error,GBP
POL00055,2521.78,333805,0.037,B,48,58,76,Male,Smoker,,Yes,Mixed,Undefined,Rider,Endowment,Unknown,7,0.081,239.68,Standard,USD
POL00056,4989.81,246592,0.018,D,29,28,79,,Non-Smoker,Single,Yes,Increasing,Short Term,Main,Other,Unknown,12,0.06,229.77,Error,USD
POL00057,4766.37,387923,0.045,D,28,55,77,,Non-Smoker,Single,Yes,Increasing,Short Term,Main,Term,Unknown,-1,0.083,162.83,Error,EUR
POL00058,2745.69,397858,0.026,,36,59,72,Female,Smoker,,,Increasing,Short Term,,Whole Life,Unknown,23,0.068,290.45,Special,USD
POL00059,1770.53,379663,0.04,,22,63,78,Unknown,Non-Smoker,,No,Increasing,Long Term,Rider,Term,Terminated,26,0.092,299.38,Special,EUR
POL00060,1195.36,74552,0.02,D,32,41,79,Male,Non-Smoker,Single,Yes,Mixed,Short Term,,Whole Life,Continuing,12,0.056,18.6,Special,INR
POL00061,4950.62,360169,0.035,A,27,49,77,Male,Non-Smoker,,Yes,Level,Short Term,,Endowment,Unknown,-1,0.145,55.18,Error,USD
POL00062,3102.46,305533,0.005,C,25,56,74,,Unknown,,,Increasing,Short Term,Main,Whole Life,Continuing,18,0.064,57.55,Special,EUR
POL00063,1888.22,214867,0.017,D,,30,76,Unknown,Smoker,Joint,,Level,Undefined,Main,Endowment,New,23,0.066,220.44,Special,USD
POL00064,2627.76,99231,0.013,C,59,56,72,Male,Smoker,Joint,Yes,Level,Long Term,Main,Other,Unknown,14,0.099,180.86,Error,GBP
POL00065,2722.24,332534,0.033,A,20,51,64,Male,Non-Smoker,Joint,No,Increasing,Long Term,Rider,Whole Life,Continuing,20,0.082,299.87,Error,EUR
POL00066,2257.56,100312,0.05,B,35,48,75,Other,Unknown,Joint,,Mixed,Undefined,Rider,Endowment,Continuing,11,0.121,35.43,Special,USD
POL00067,4255.21,287804,0.004,D,28,28,76,Unknown,Unknown,,Yes,Mixed,Undefined,,ULIP,Continuing,8,0.146,147,Error,INR
POL00068,4052.65,389392,0.03,,51,49,74,Female,Non-Smoker,Single,,Mixed,Undefined,Rider,Whole Life,Unknown,10,0.117,233.18,Special,INR
POL00069,2208.96,462135,0.048,B,34,21,79,,Unknown,,,Level,Short Term,Rider,Other,Terminated,19,0.086,134.41,Special,EUR
POL00070,3543.67,205808,0.013,B,26,59,80,Male,Unknown,Joint,Yes,Increasing,Short Term,Rider,Endowment,Unknown,-1,0.113,167.99,Error,GBP
POL00071,3580.14,445006,0.019,D,21,29,80,Female,Smoker,,No,Level,Undefined,,Whole Life,Terminated,17,0.079,244.66,Standard,EUR
POL00072,3369.5,349152,0.02,,36,38,76,Other,Unknown,Single,No,Increasing,Long Term,Main,Endowment,Unknown,11,0.105,220.26,Error,USD
POL00073,3853.64,72083,0.029,C,60,43,67,Unknown,Unknown,Single,,Mixed,Short Term,Main,Term,Unknown,10,0.111,309.55,Special,INR
POL00074,4088.14,426187,0.029,,32,38,66,,Smoker,Joint,No,Increasing,Long Term,,Term,Unknown,9,0.076,343.34,Standard,USD
POL00075,2048.95,421759,0.024,B,49,56,75,,Unknown,,Yes,Increasing,Short Term,,Other,New,21,0.058,323.83,Standard,INR
POL00076,2203.1,447915,0.031,,54,29,66,Other,Smoker,Joint,,Mixed,Undefined,Rider,Term,New,7,0.143,243.71,Error,USD
POL00077,3048.89,259328,0.031,A,36,33,78,Female,Smoker,,Yes,Level,Undefined,Rider,Whole Life,Unknown,7,0.086,396.28,Special,GBP
POL00078,3376.05,83740,0.039,A,25,65,69,,Unknown,,No,Increasing,Undefined,Main,Term,Continuing,7,0.094,410.91,Error,INR
POL00079,2562.07,250178,0.014,C,28,57,,Female,Unknown,,No,Increasing,Long Term,Rider,Endowment,Continuing,7,0.124,237.67,Special,GBP
POL00080,4839.41,161091,0.005,D,45,42,75,Female,Non-Smoker,Single,,Mixed,Undefined,,Endowment,Unknown,22,0.113,241.88,Error,GBP
POL00081,2866.32,195065,0.037,C,48,43,80,,Unknown,Joint,,Increasing,Undefined,,Endowment,Terminated,10,0.132,30.9,Error,GBP
POL00082,3718.92,147730,0.041,B,30,58,63,Male,Unknown,Single,No,Level,Long Term,Rider,Term,New,-1,0.124,365.48,Standard,INR
POL00083,4593.26,131665,0.021,,55,24,60,Other,Non-Smoker,Joint,Yes,Increasing,Long Term,,Endowment,Continuing,20,0.145,385.91,Special,EUR
POL00084,1084.27,219726,0.019,D,53,53,67,,Non-Smoker,Single,Yes,Mixed,Short Term,Main,ULIP,New,15,0.06,193.6,Standard,USD
POL00085,3839.04,432031,0.048,B,27,46,60,,Non-Smoker,,No,Mixed,Long Term,Main,Other,Continuing,27,0.067,443.16,Special,USD
POL00086,4111.91,463481,0.023,B,34,53,62,Female,Unknown,Single,No,Increasing,Short Term,Main,Other,Continuing,15,0.098,440.61,Standard,INR
POL00087,1167.64,498761,0.003,B,41,30,61,Male,Smoker,Joint,,Mixed,Long Term,Rider,Whole Life,Continuing,28,0.136,224.29,Error,USD
POL00088,1108,250194,0.021,C,34,36,62,Female,Unknown,Single,,Level,Undefined,Rider,Term,Unknown,9,0.082,114.52,Error,GBP
POL00089,3573.22,359170,0.011,,50,43,80,,Smoker,,No,Mixed,Short Term,Rider,Endowment,Continuing,3,0.118,426.46,Standard,USD
POL00090,1125.49,66106,0.016,B,,27,60,,Non-Smoker,Single,No,Increasing,Long Term,Rider,Endowment,Unknown,10,0.14,382.04,Error,USD
POL00091,1768.92,486952,0.037,A,28,36,70,Unknown,Smoker,Joint,Yes,Level,Long Term,Main,Endowment,Terminated,1,0.142,478.93,Special,EUR
POL00092,2259.03,143399,0.035,A,40,58,,Unknown,Unknown,Joint,,Mixed,Short Term,Main,Whole Life,Unknown,9,0.098,245.01,Standard,INR
POL00093,2206.93,481292,0.049,A,28,28,78,,Unknown,,,Level,Short Term,,Whole Life,Continuing,6,0.08,467.56,Special,INR
POL00094,4502.41,360987,0.021,,22,31,77,Unknown,Unknown,,Yes,Level,Long Term,Rider,Endowment,Terminated,3,0.11,406.69,Standard,INR
POL00095,4414.54,127003,0.044,C,40,35,61,Female,Unknown,Joint,No,Increasing,Undefined,Main,Endowment,Unknown,19,0.091,120.62,Standard,INR
POL00096,2745.91,115961,0.042,,46,22,,Female,Unknown,Single,No,Increasing,Long Term,Main,Term,Terminated,22,0.136,97.68,Standard,INR
POL00097,4965.86,399548,0.04,D,25,56,72,Other,Smoker,Single,Yes,Level,Long Term,,Whole Life,Terminated,8,0.054,44.66,Error,EUR
POL00098,3157.65,143882,0.016,,52,40,62,Female,Non-Smoker,Single,No,Mixed,Long Term,Main,ULIP,Terminated,30,0.066,446.21,Standard,EUR
POL00099,2973.5,271301,0.046,,32,43,,Unknown,Unknown,Joint,,Increasing,Long Term,Rider,ULIP,Terminated,29,0.132,243.89,Special,EUR
POL00100,2050.16,471942,0.028,A,46,61,79,Unknown,Unknown,,Yes,Increasing,Long Term,Rider,Other,Unknown,28,0.129,101.94,Standard,USD
POL00101,2577.72,56083,0.023,,26,30,62,Unknown,Smoker,Single,Yes,Increasing,Long Term,,Endowment,Unknown,11,0.071,347.76,Error,GBP
POL00102,1887.51,126404,0.025,,21,46,71,,Smoker,,No,Increasing,Undefined,,ULIP,New,21,0.125,157.83,Error,GBP
POL00103,4608.7,54863,0.021,D,35,64,66,Female,Unknown,,,Increasing,Short Term,Main,Endowment,New,1,0.138,161.35,Error,EUR
POL00104,4627.59,141720,0.032,D,32,61,68,,Smoker,Single,Yes,Level,Long Term,Rider,Endowment,Continuing,6,0.063,385.21,Error,GBP
POL00105,1196.82,470169,0.025,D,53,57,73,Female,Unknown,,,Increasing,Long Term,Main,Term,Continuing,4,0.068,111.21,Special,USD
POL00106,2023.45,339200,0.03,,,26,70,Other,Non-Smoker,Single,Yes,Mixed,Short Term,Rider,ULIP,Unknown,5,0.123,165.9,Standard,EUR
POL00107,3427.94,345827,0.03,,36,49,65,Male,Non-Smoker,,Yes,Increasing,Long Term,,Term,New,23,0.074,11.31,Standard,GBP
POL00108,2649.83,423335,0.037,B,26,27,61,Unknown,Smoker,Joint,,Level,Long Term,Main,Term,Continuing,8,0.109,290.28,Standard,INR
POL00109,4823.21,415088,0.028,,23,33,78,Female,Smoker,,Yes,Mixed,Short Term,Main,Whole Life,New,2,0.136,398.63,Special,USD
POL00110,1413.58,232525,0.037,A,55,32,67,Male,Smoker,Joint,,Mixed,Long Term,Main,Other,New,8,0.094,81.91,Standard,EUR
POL00111,1542.48,230566,0.008,B,35,34,74,,Smoker,Joint,Yes,Increasing,Short Term,,Whole Life,Unknown,25,0.12,151.86,Error,INR
POL00112,3130.96,283062,0.02,A,43,21,77,Male,Non-Smoker,Joint,No,Level,Short Term,Rider,Whole Life,Unknown,20,0.141,121.9,Standard,GBP
POL00113,2836.07,463719,0.047,B,44,999,70,Unknown,Smoker,,No,Increasing,Short Term,Main,ULIP,Terminated,24,0.073,163.78,Error,USD
POL00114,2760.91,456792,0,C,43,53,66,Male,Unknown,Single,,Increasing,Long Term,Main,Term,Unknown,9,0.102,324.54,Error,USD
POL00115,3286.15,179505,0.011,,59,36,63,Female,Non-Smoker,,No,Level,Long Term,Main,Other,New,10,0.126,98.83,Standard,INR
POL00116,4387.1,190601,0.031,B,30,49,70,Male,Smoker,,Yes,Increasing,Long Term,Main,Other,Terminated,15,0.119,245.39,Special,INR
POL00117,4670.65,243541,0.025,,42,42,75,Male,Non-Smoker,,,Mixed,Long Term,,Other,Unknown,12,0.069,186.55,Error,INR
POL00118,1403.89,172236,0.04,,,24,72,Unknown,Non-Smoker,,No,Mixed,Undefined,Main,ULIP,Continuing,11,0.091,54.73,Error,USD
POL00119,4787.26,212299,0.002,D,53,48,64,Unknown,Non-Smoker,Single,No,Level,Undefined,Rider,Term,New,17,0.053,419.51,Error,GBP
POL00120,1879.21,334862,0.042,C,54,28,70,Female,Unknown,Single,,Increasing,Short Term,,Other,Terminated,7,0.114,201.92,Standard,GBP
POL00121,3321.91,475486,0.027,C,33,56,62,,Smoker,Joint,,Mixed,Long Term,,ULIP,Unknown,18,0.134,136.95,Standard,INR
POL00122,4367.02,462755,0.032,C,47,36,75,,Unknown,Joint,Yes,Level,Long Term,,ULIP,New,18,0.062,193.45,Special,INR
POL00123,4822.65,229438,0.017,D,45,48,62,Unknown,Smoker,Single,,Mixed,Long Term,Main,ULIP,Terminated,28,0.071,359.93,Error,EUR
POL00124,1638.34,137780,0.024,,37,44,69,,Non-Smoker,,No,Mixed,Long Term,,Term,Continuing,14,0.072,102.17,Special,EUR
POL00125,3070.16,232579,0.007,D,54,40,60,Female,Unknown,Single,Yes,Mixed,Short Term,Main,Whole Life,Unknown,1,0.077,395.51,Standard,INR
POL00126,3607.52,455955,0.026,B,56,64,60,Male,Non-Smoker,,No,Level,Long Term,Rider,Other,Unknown,20,0.118,116.43,Special,GBP
POL00127,1351.05,356429,0.042,D,41,49,72,Other,Non-Smoker,Single,,Mixed,Undefined,,Other,Unknown,5,0.103,294.2,Special,USD
POL00128,4401.03,238473,0.015,,34,31,,Male,Smoker,Joint,Yes,Level,Undefined,,Whole Life,Unknown,14,0.071,115.03,Standard,GBP
POL00129,1995.03,128829,0,C,45,31,61,Unknown,Unknown,Single,No,Level,Short Term,Main,Whole Life,Terminated,-1,0.125,173.87,Error,INR
POL00130,4143.64,222379,0.002,,47,36,76,,Smoker,Joint,Yes,Mixed,Short Term,Main,ULIP,New,18,0.074,303.89,Standard,INR
POL00131,4928.1,338064,0.01,C,45,44,65,Unknown,Non-Smoker,Single,,Level,Short Term,Rider,Whole Life,Terminated,22,0.127,433.95,Error,EUR
POL00132,1062.29,436552,0.005,C,46,63,75,Female,Unknown,Joint,,Mixed,Undefined,Rider,Other,Continuing,11,0.067,467,Standard,INR
POL00133,1818.17,155230,0.021,,53,37,66,,Unknown,Single,,Increasing,Short Term,Main,Term,Unknown,17,0.053,158.51,Standard,USD
POL00134,4654.92,460088,0.033,D,46,46,72,Unknown,Smoker,,,Increasing,Long Term,Main,Term,Continuing,7,0.061,377,Special,GBP
POL00135,2124.55,52078,0.016,A,48,54,79,Female,Smoker,Single,Yes,Mixed,Long Term,Rider,Other,New,23,0.141,87.37,Special,USD
POL00136,1337.44,127735,0.027,,42,22,,Male,Non-Smoker,Joint,,Mixed,Long Term,,Term,Continuing,6,0.145,425.75,Standard,USD
POL00137,3828.66,234569,0.007,B,44,38,78,Other,Non-Smoker,,No,Level,Long Term,Main,Endowment,Terminated,21,0.115,347.38,Standard,GBP
POL00138,4443.58,148049,0.04,D,42,57,61,,Non-Smoker,Single,Yes,Increasing,Short Term,,ULIP,Unknown,27,0.085,293.75,Error,INR
POL00139,2195.71,322334,0.03,,47,25,68,Unknown,Smoker,Joint,No,Mixed,Undefined,,Endowment,New,9,0.149,160.59,Special,EUR
POL00140,4354.77,225593,0.018,D,45,33,69,Male,Smoker,Single,Yes,Increasing,Long Term,Rider,Other,New,22,0.109,185.96,Special,USD
POL00141,2735.76,487627,0.017,B,36,37,67,Female,Unknown,Joint,Yes,Mixed,Long Term,Main,Term,Continuing,7,0.142,492.43,Standard,EUR
POL00142,1204.85,123223,0.027,B,32,41,,Male,Non-Smoker,Single,No,Level,Long Term,Rider,Term,New,22,0.051,340.77,Special,GBP
POL00143,1731.04,310196,0.01,D,35,44,77,Other,Smoker,,Yes,Mixed,Undefined,Main,Other,Continuing,20,0.126,184.92,Error,INR
POL00144,2474.52,113383,0.016,D,57,63,66,Unknown,Smoker,Joint,Yes,Mixed,Undefined,Main,ULIP,New,20,0.095,356.16,Error,USD
POL00145,1576.12,107883,0.01,,33,33,,Male,Non-Smoker,,No,Increasing,Long Term,Rider,Other,New,1,0.076,188.94,Standard,USD
POL00146,4134.63,369158,0.005,C,44,54,61,Female,Non-Smoker,Single,Yes,Mixed,Undefined,Main,Endowment,New,20,0.121,334.79,Error,USD
POL00147,4739.9,190621,0.035,A,46,56,61,Other,Unknown,,,Level,Long Term,Main,Endowment,Continuing,27,0.091,118.09,Error,INR
POL00148,1223.72,321747,0.049,B,43,22,74,Female,Non-Smoker,Single,No,Level,Long Term,Main,Other,Terminated,25,0.061,168.8,Standard,EUR
POL00149,3612.88,169495,0.02,A,48,57,67,Unknown,Non-Smoker,Joint,No,Mixed,Long Term,,Term,Terminated,5,0.124,242.55,Standard,EUR
POL00150,2610.74,284132,0.017,,53,30,73,Male,Unknown,,No,Level,Long Term,,Endowment,Unknown,10,0.091,105.38,Special,EUR
POL00151,1015.67,239119,0.021,C,22,45,69,Other,Non-Smoker,,,Mixed,Undefined,,ULIP,Unknown,7,0.135,41.02,Error,EUR
POL00152,1546.51,284112,0.031,D,46,60,70,Female,Non-Smoker,Joint,,Increasing,Short Term,,Endowment,Continuing,14,0.091,81.91,Standard,INR
POL00153,4981.51,169222,0.005,C,54,24,68,Female,Unknown,Joint,,Mixed,Long Term,Rider,ULIP,Terminated,2,0.086,44.93,Special,INR
POL00154,4873.26,456152,0.032,A,47,31,65,Other,Non-Smoker,,,Increasing,Long Term,Rider,ULIP,Unknown,4,0.13,218.73,Standard,EUR
POL00155,2883.5,262908,0.039,D,40,65,71,,Unknown,,No,Level,Long Term,Rider,Endowment,Continuing,-1,0.126,41.06,Special,GBP
POL00156,3874.06,285057,0.045,A,58,65,78,Female,Smoker,Single,No,Level,Long Term,Main,ULIP,New,24,0.126,177.45,Error,EUR
POL00157,2794.16,139192,0.014,C,36,40,66,Unknown,Unknown,,No,Mixed,Short Term,,Endowment,Continuing,25,0.134,184.06,Error,EUR
POL00158,4726.92,394714,0.017,C,45,63,73,Female,Unknown,,,Level,Undefined,Rider,ULIP,Terminated,25,0.124,118,Error,INR
POL00159,1893.56,136487,0.013,A,37,62,64,Female,Smoker,,Yes,Mixed,Short Term,Rider,Endowment,Terminated,26,0.09,38.01,Special,EUR
POL00160,1985.7,303121,0.021,,58,65,73,Unknown,Unknown,,Yes,Mixed,Short Term,Rider,Endowment,Continuing,9,0.083,322.13,Error,EUR
POL00161,1170.5,85883,0.033,C,28,57,68,Male,Smoker,Joint,No,Mixed,Long Term,Rider,Whole Life,New,16,0.108,482.75,Error,EUR
POL00162,4976.97,191805,0.018,C,32,31,62,Unknown,Non-Smoker,,Yes,Level,Undefined,Rider,ULIP,Continuing,30,0.097,395.34,Standard,INR
POL00163,1011.64,338774,0.019,A,23,42,,Unknown,Unknown,Single,No,Increasing,Undefined,,Term,Unknown,30,0.082,4.61,Error,GBP
POL00164,1897.1,338303,0.041,C,43,46,67,Female,Non-Smoker,,,Increasing,Short Term,,Term,Continuing,3,0.086,382.71,Error,GBP
POL00165,2715.64,383784,0.031,D,53,64,66,,Non-Smoker,Joint,No,Increasing,Short Term,Rider,Other,Unknown,13,0.089,127.07,Error,GBP
POL00166,4213.77,454369,0.014,A,51,37,78,,Smoker,,Yes,Level,Short Term,,ULIP,Unknown,21,0.132,326.04,Special,USD
POL00167,4563.53,417471,0.003,,,50,,,Unknown,Joint,No,Level,Long Term,,ULIP,New,21,0.126,50.57,Special,GBP
POL00168,2162.64,167683,0.01,D,44,59,75,Male,Unknown,Joint,,Increasing,Short Term,Main,Other,Terminated,1,0.135,320.34,Error,GBP
POL00169,1452,98281,0.021,,23,37,61,Other,Non-Smoker,,Yes,Mixed,Short Term,Main,Term,New,8,0.095,314.8,Special,GBP
POL00170,1197.79,384810,0.018,C,53,54,74,Female,Smoker,,No,Level,Undefined,,ULIP,Unknown,5,0.059,120.12,Special,GBP
POL00171,2879.98,156252,0.016,B,44,54,73,Other,Non-Smoker,Joint,No,Level,Long Term,Rider,Term,Unknown,21,0.069,206.09,Error,USD
POL00172,4685.86,127762,0.035,D,55,37,77,Other,Smoker,,Yes,Mixed,Long Term,Main,Term,Terminated,-1,0.064,111.48,Standard,EUR
POL00173,3309.07,419612,0.04,D,,65,71,,Non-Smoker,Single,No,Increasing,Undefined,,Term,Unknown,12,0.116,351.56,Standard,GBP
POL00174,2483.92,160976,0.027,D,25,38,75,Female,Unknown,Single,No,Mixed,Long Term,,Endowment,New,7,0.137,271.48,Special,USD
POL00175,2987.66,464438,0.005,C,38,57,77,Female,Smoker,Joint,Yes,Mixed,Undefined,Main,Term,New,14,0.114,302.39,Error,GBP
POL00176,1885.12,315708,0.043,D,34,49,73,Male,Unknown,Joint,No,Level,Short Term,Rider,ULIP,Continuing,7,0.058,325.55,Error,USD
POL00177,2984.38,478311,0.036,,35,43,77,Unknown,Non-Smoker,Joint,No,Mixed,Undefined,Rider,Other,New,1,0.1,422.34,Error,EUR
POL00178,2854.05,360813,0.026,A,31,48,64,Male,Unknown,Single,,Increasing,Short Term,Main,Endowment,Unknown,10,0.102,284.93,Special,EUR
POL00179,4436.98,107163,0.009,B,49,999,76,,Unknown,,No,Increasing,Undefined,Main,Other,Unknown,25,0.15,209.41,Error,INR
POL00180,2064.22,486532,0.009,B,,37,65,Male,Smoker,,Yes,Mixed,Short Term,,Whole Life,Unknown,-1,0.076,329.84,Standard,GBP
